Model,Metric,Score,Can do,Cannot do,algorithm,pr_auc,brier_score,ece,ci_low,ci_high,prevalence
M1a overall survival,AUC-ROC,0.7845871040723983,Risk stratification,External validation still needed,EN (L1+L2),0.7460422088547922,0.1891361767435075,0.0681284495707243,0.7415137557723822,0.8358593885993864,0.4199475065616798
M1b cancer-specific survival,AUC-ROC,0.7010625,Risk stratification,External validation still needed,LR (L2),0.5145730889686091,0.2198228464622047,0.1430303839453109,0.6574040498849064,0.7585963609212402,0.3280839895013123
