group,n,median_risk,cancer_deaths,other_cause_deaths,alive_or_censored,cif_cancer_36m,cif_cancer_60m,cif_cancer_120m,cif_other_cause_36m,cif_other_cause_60m,cif_other_cause_120m
Low risk,127,0.7032118745766056,23,44,60,0.007874015748031496,0.0238760477520955,0.09309878512866321,0.016002032004064005,0.04820951167326063,0.1710614854534523
Medium risk,127,0.9967352046144696,35,36,56,0.04799999999999999,0.1042142857142857,0.22515285017108755,0.007999999999999998,0.015999999999999993,0.13749428517168405
High risk,127,1.412971987160883,67,16,44,0.24033333333333334,0.3858333333333333,0.4878462628074133,0.016,0.040249999999999994,0.09418834738170549
