group,time,survival
Low risk,0.0,1.0
Low risk,15.86666667,0.9921259842519685
Low risk,21.6,0.9921259842519685
Low risk,23.8,0.9921259842519685
Low risk,26.33333333,0.9921259842519685
Low risk,32.73333333,0.9921259842519685
Low risk,39.3,0.9839938040531819
Low risk,42.56666667,0.9839938040531819
Low risk,46.06666667,0.9757938556860721
Low risk,50.06666667,0.9757938556860721
Low risk,54.26666667,0.9757938556860721
Low risk,55.03333333,0.9757938556860721
Low risk,56.76666667,0.9757938556860721
Low risk,57.63333333,0.9757938556860721
Low risk,61.43333333,0.9757938556860721
Low risk,61.8,0.9671585118304432
Low risk,62.33333333,0.9671585118304432
Low risk,70.16666667,0.9671585118304432
Low risk,70.4,0.9583661617228938
Low risk,71.5,0.9583661617228938
Low risk,72.56666667,0.9583661617228938
Low risk,75.1,0.9583661617228938
Low risk,80.43333333,0.9583661617228938
Low risk,80.5,0.9583661617228938
Low risk,80.83333333,0.9583661617228938
Low risk,84.83333333,0.949061635880924
Low risk,85.0,0.949061635880924
Low risk,85.86666667,0.9396649860207168
Low risk,86.4,0.9396649860207168
Low risk,90.13333333,0.9301734205053561
Low risk,90.66666667,0.9301734205053561
Low risk,93.36666667,0.9301734205053561
Low risk,101.9666667,0.9301734205053561
Low risk,102.6333333,0.9301734205053561
Low risk,102.7,0.9301734205053561
Low risk,103.4666667,0.9201715557687394
Low risk,103.8,0.9201715557687394
Low risk,106.8,0.9100597804306214
Low risk,108.9333333,0.9100597804306214
Low risk,111.7,0.9100597804306214
Low risk,112.5666667,0.9100597804306214
Low risk,112.6333333,0.9100597804306214
Low risk,114.53333329999998,0.9100597804306214
Low risk,115.6333333,0.9100597804306214
Low risk,116.53333329999998,0.9100597804306214
Low risk,117.03333329999998,0.9100597804306214
Low risk,117.5666667,0.8989614904253699
Low risk,117.8666667,0.8989614904253699
Low risk,118.53333329999998,0.8989614904253699
Low risk,120.5666667,0.8875822310528969
Low risk,121.6666667,0.8762029716804239
Low risk,123.53333329999998,0.8762029716804239
Low risk,124.0,0.8762029716804239
Low risk,126.4,0.8762029716804239
Low risk,130.46666670000002,0.8762029716804239
Low risk,131.3,0.8762029716804239
Low risk,134.3666667,0.8762029716804239
Low risk,135.3,0.8762029716804239
Low risk,136.7,0.8762029716804239
Low risk,138.1,0.8762029716804239
Low risk,138.9,0.8762029716804239
Low risk,140.2,0.8762029716804239
Low risk,142.43333330000002,0.8762029716804239
Low risk,142.66666669999998,0.8762029716804239
Low risk,144.43333330000002,0.8762029716804239
Low risk,144.4666667,0.8762029716804239
Low risk,146.7666667,0.8762029716804239
Low risk,146.83333330000002,0.8618389885381219
Low risk,147.83333330000002,0.8474750053958199
Low risk,149.7,0.8331110222535179
Low risk,150.5,0.8331110222535179
Low risk,153.3,0.8331110222535179
Low risk,154.0,0.8331110222535179
Low risk,155.4,0.8331110222535179
Low risk,159.0,0.8176830403599342
Low risk,161.66666669999998,0.8176830403599342
Low risk,161.7666667,0.8176830403599342
Low risk,163.2,0.8176830403599342
Low risk,164.5,0.8176830403599342
Low risk,165.43333330000002,0.8176830403599342
Low risk,169.83333330000002,0.8176830403599342
Low risk,172.9,0.8176830403599342
Low risk,174.56666669999998,0.8176830403599342
Low risk,176.5,0.8176830403599342
Low risk,186.8333333,0.7990993348972084
Low risk,188.5333333,0.7990993348972084
Low risk,189.8666667,0.7990993348972084
Low risk,191.2333333,0.7990993348972084
Low risk,194.3666667,0.7990993348972084
Low risk,194.5333333,0.7990993348972084
Low risk,197.4333333,0.7990993348972084
Low risk,197.8333333,0.7775020555756623
Low risk,199.3,0.7775020555756623
Low risk,200.7,0.7775020555756623
Low risk,204.4333333,0.7546343480587311
Low risk,206.1333333,0.7546343480587311
Low risk,207.6333333,0.7546343480587311
Low risk,207.9666667,0.7546343480587311
Low risk,211.4,0.7546343480587311
Low risk,212.2,0.7546343480587311
Low risk,212.7,0.7546343480587311
Low risk,214.4333333,0.7546343480587311
Low risk,219.1666667,0.7546343480587311
Low risk,221.6,0.7546343480587311
Low risk,224.2333333,0.7546343480587311
Low risk,225.5,0.7546343480587311
