group,median_risk,event_rate,median_time,n
Low risk,0.7032118745766056,0.18110236220472442,144.43333330000002,127
Medium risk,0.9967352046144696,0.2755905511811024,118.2,127
High risk,1.412971987160883,0.5275590551181102,75.23333333,127
